Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
53,Company Invited,3,127,Salaried,Male,3,4,Basic,3,Married,4,0,1,1,2,Executive,22160,0
43,Company Invited,1,36,Salaried,Female,4,4,Deluxe,3,Married,4,0,3,1,2,Manager,23234,0
39,Company Invited,1,36,Salaried,Female,3,4,Deluxe,3,Single,3,0,3,1,1,Manager,21084,0
33,Company Invited,1,36,Small Business,Female,4,4,Basic,3,Unmarried,2,0,3,1,3,Executive,22703,0
33,Self Enquiry,1,36,Salaried,Female,3,5,Basic,4,Unmarried,3,0,3,1,1,Executive,21515,0
32,Self Enquiry,3,36,Small Business,Female,4,5,Deluxe,3,Married,3,0,3,1,1,Manager,24146,0
43,Company Invited,1,36,Salaried,Female,4,4,Deluxe,3,Married,4,0,3,1,3,Manager,23234,0
49,Self Enquiry,3,36,Small Business,Female,4,4,Standard,3,Married,5,0,4,0,2,Senior Manager,31182,0
43,Self Enquiry,1,36,Salaried,Male,4,4,Deluxe,4,Divorced,3,0,3,1,2,Manager,23112,0
27,Self Enquiry,3,36,Small Business,Male,3,4,Deluxe,3,Married,7,0,5,1,1,Manager,22984,0
30,Self Enquiry,1,36,Salaried,Male,4,6,Deluxe,3,Married,2,0,5,1,3,Manager,25062,0
46,Self Enquiry,1,36,Large Business,Male,3,4,Standard,3,Divorced,6,1,5,1,1,Senior Manager,28058,0
43,Self Enquiry,1,36,Salaried,Male,4,4,Deluxe,4,Married,3,0,3,1,1,Manager,23112,0
39,Self Enquiry,1,36,Large Business,Male,3,4,Deluxe,3,Married,5,0,1,0,1,Manager,24939,0
31,Self Enquiry,3,36,Salaried,Male,4,4,Deluxe,5,Married,2,0,1,1,1,Manager,22793,0
39,Self Enquiry,1,36,Large Business,Male,3,4,Deluxe,3,Divorced,5,0,2,0,2,Manager,24939,0
43,Self Enquiry,1,36,Small Business,Male,3,6,Deluxe,3,Unmarried,6,0,3,1,1,Manager,22950,0
31,Self Enquiry,3,36,Salaried,Male,4,4,Deluxe,5,Married,2,0,2,1,2,Manager,22793,0
35,Self Enquiry,1,36,Small Business,Male,3,4,Deluxe,3,Divorced,6,0,3,0,1,Manager,24107,0
46,Self Enquiry,1,36,Small Business,Male,3,4,Basic,3,Unmarried,7,0,1,1,1,Executive,22130,0
25,Self Enquiry,1,36,Small Business,Male,4,4,Basic,5,Married,3,0,4,1,2,Executive,22585,0
27,Self Enquiry,3,36,Small Business,Male,3,4,Deluxe,3,Married,7,0,5,0,1,Manager,22984,0
58,Self Enquiry,3,36,Small Business,Male,3,5,Super Deluxe,3,Married,5,0,3,1,1,AVP,32796,0
46,Self Enquiry,1,36,Small Business,Male,3,4,Basic,3,Unmarried,7,0,2,1,1,Executive,22130,0
29,Self Enquiry,1,36,Salaried,Male,4,6,Deluxe,4,Divorced,3,0,1,1,3,Manager,25227,0
45,Self Enquiry,3,35,Small Business,Female,3,2,Super Deluxe,3,Married,5,1,1,1,1,AVP,31998,0
44,Company Invited,1,35,Small Business,Female,4,2,Basic,3,Unmarried,6,0,3,0,3,Executive,23417,0
32,Self Enquiry,1,35,Salaried,Female,2,4,Basic,4,Single,2,0,3,1,0,Executive,17837,0
53,Company Invited,1,35,Small Business,Female,3,2,Super Deluxe,3,Divorced,4,1,4,0,1,AVP,31925,0
31,Self Enquiry,1,35,Small Business,Female,4,4,Deluxe,3,Divorced,3,0,3,0,3,Manager,24453,0
48,Self Enquiry,3,35,Small Business,Female,3,3,Standard,3,Divorced,4,0,4,0,0,Senior Manager,27504,0
61,Company Invited,3,35,Small Business,Female,4,5,Standard,5,Divorced,6,0,2,1,1,Senior Manager,28944,0
30,Self Enquiry,1,35,Salaried,Female,4,4,Basic,3,Married,6,0,5,0,2,Executive,21192,0
31,Self Enquiry,3,35,Small Business,Female,3,4,Deluxe,3,Married,2,0,3,1,0,Manager,20468,0
36,Self Enquiry,3,35,Salaried,Female,4,5,Basic,3,Married,2,0,4,1,3,Executive,21108,0
43,Company Invited,1,35,Large Business,Female,3,5,Deluxe,3,Married,2,0,3,0,2,Manager,23201,0
38,Company Invited,1,35,Salaried,Female,2,3,Deluxe,3,Single,2,0,3,1,0,Manager,17406,0
42,Self Enquiry,1,35,Salaried,Female,3,5,Super Deluxe,4,Married,2,0,5,1,2,AVP,32248,0
35,Self Enquiry,3,35,Small Business,Female,4,5,Deluxe,3,Married,3,0,5,1,1,Manager,25390,0
30,Self Enquiry,1,35,Small Business,Female,4,5,Basic,5,Unmarried,3,0,1,0,2,Executive,22463,0
